Location,Name,lon,lat,Type,Approach,Icon
Israel,DOVAK,35.24527778,32.59027778,FAF,ILS 33 LLRD,
Israel,RATTR,35.31166667,32.5075,IF,ILS 33 LLRD,
Israel,GAFAZ,35.2922,32.5622,WPT,,
Israel,FOLKU,35.52,32.7222,WPT,,
Israel,GALIM,34.9667,32.8333,WPT,,
Israel,ATLIT,34.9153,32.6978,WPT,,
Israel,BARZI,35.5434,32.8364,WPT,,
Israel,GUNDI,35.33916667,32.47277778,IAF,ILS 33 LLRD,
Israel,MOCEV,35.0622,32.4,WPT,,
Israel,RAPIV,34.9317,32.5867,WPT,,
Israel,SALAM,35.5167,31.9333,FIR,,
Israel,ITERO,35.1421,31.9345,WPT,,
Israel,ABIMI,35.2431,31.9047,WPT,,
Israel,GOBRI,35.3789,31.8642,WPT,,
Israel,TALMI,35.5039,31.8267,STAR,,
Israel,ADLOD,35.2525,32.0094,WPT,,
Israel,ORPAZ,35.1834,32.0296,WPT,,
Israel,YOGGA,34.994,31.9783,WPT,,
Israel,MESIL,34.9014,32.1106,STAR,,
Israel,KANER,34.9319,32.2078,WPT,,
Israel,SIVAK,35.4769,31.7089,WPT,,
United States,DANNK,-106.0785,32.7524,FAF,RNAV 34 KMHN,
United States,WINOK,-106.0452,32.6218,IAF,RNAV 34 KHMN,
United States,HODMI,-106.0966,32.8252,MA,RNAV 34 KHMN,
United States,OPPTO INT,-86.1811,31.2683,INT,NDB 6 KOZR,
United States,RUCKR,-85.8154,31.2249,IAF,NDB 6 KOZR,
Israel,BARUM,35.52111111,33.04722222,FAF,RNAV 15 LLIB,RNAV
Georgia,BASKA,43.4486,42.5831,WPT,RNAV(GPS) 25 UGKO,RNAV
Georgia,LOBIN,43.1072,42.1817,WPT,RNAV(GPS) 25 UGKO,RNAV
Georgia,BARUS,42.8417,41.90369,WPT,RNAV(GPS) 25 UGKO,RNAV
Georgia,RIVVR,42.60644119,42.19390651,FAF,RNAV(GPS) 25 UGKO,RNAV
Georgia,HAAPY,42.69527778,42.20527778,IAF/IF,RNAV(GPS) 25 UGKO,RNAV
Georgia,RNDUS,42.73388889,42.32805556,IAF,RNAV(GPS) 25 UGKO,RNAV
Georgia,HIIPO,42.47943404,42.2729291,MA,RNAV(GPS) 25 UGKO,RNAV
